date,site_id,local_site_name,county,state,site_latitude,site_longitude,station,station_name,daily_max_8hr_ozone,daily_aqi_ozone,daily_obs_count_ozone,percent_complete_ozone,ozone_poc,daily_mean_pm10,daily_aqi_pm10,daily_obs_count_pm10,percent_complete_pm10,pm10_poc,daily_mean_pm25,daily_aqi_pm25,daily_obs_count_pm25,percent_complete_pm25,pm25_poc,daily_max_1hr_no2,daily_aqi_no2,daily_obs_count_no2,percent_complete_no2,no2_poc,awnd,prcp,tmax,tmin,overall_aqi,poor_air_quality,year,month,day_of_week,is_weekend,season,dominant_pollutant
2024-01-01,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.033,31.0,17.0,100.0,1,13.0,12.0,1.0,100.0,3,5.4,32.0,2.0,100.0,"1,21",11.8,10.0,22.0,92.0,1,4.7,0.0,26.7,18.3,32.0,0,2024,1,Monday,0,Winter,PM2.5
2024-01-02,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.035,32.0,17.0,100.0,1,20.0,19.0,1.0,100.0,3,4.95,30.0,2.0,100.0,"1,21",16.1,15.0,24.0,100.0,1,4.6,0.0,27.8,22.2,32.0,0,2024,1,Tuesday,0,Winter,Ozone
2024-01-03,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.035,32.0,17.0,100.0,1,25.0,23.0,1.0,100.0,3,5.666666666666667,37.0,3.0,100.0,"1,2,21",13.0,12.0,24.0,100.0,1,3.5,0.0,28.9,19.4,37.0,1,2024,1,Wednesday,0,Winter,PM2.5
2024-01-04,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.033,31.0,17.0,100.0,1,21.0,19.0,1.0,100.0,3,5.833333333333333,37.0,3.0,100.0,"1,2,21",17.4,16.0,24.0,100.0,1,2.4,0.0,26.7,19.4,37.0,1,2024,1,Thursday,0,Winter,PM2.5
2024-01-05,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.031,29.0,17.0,100.0,1,23.0,21.0,1.0,100.0,3,7.1,42.0,2.0,100.0,"1,21",17.9,16.0,24.0,100.0,1,2.1,0.0,27.2,19.4,42.0,1,2024,1,Friday,0,Winter,PM2.5
2024-01-06,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.034,31.0,17.0,100.0,1,17.0,16.0,1.0,100.0,3,5.1,31.0,2.0,100.0,"1,21",8.3,8.0,24.0,100.0,1,2.1,0.0,27.8,18.9,31.0,0,2024,1,Saturday,1,Winter,Ozone
2024-01-07,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.032,30.0,17.0,100.0,1,15.0,14.0,1.0,100.0,3,4.666666666666667,31.0,3.0,100.0,"1,2,21",7.9,7.0,24.0,100.0,1,3.1,0.0,26.7,19.4,31.0,0,2024,1,Sunday,1,Winter,PM2.5
2024-01-08,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.03,28.0,17.0,100.0,1,22.0,20.0,1.0,100.0,3,7.2,43.0,2.0,100.0,"1,21",10.4,9.0,22.0,92.0,1,6.9,60.5,24.4,20.0,43.0,1,2024,1,Monday,0,Winter,PM2.5
2024-01-09,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.037,34.0,17.0,100.0,1,18.0,17.0,1.0,100.0,3,5.2,32.0,2.0,100.0,"1,21",5.8,5.0,24.0,100.0,1,4.9,0.0,26.7,20.6,34.0,0,2024,1,Tuesday,0,Winter,Ozone
2024-01-10,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.039,36.0,17.0,100.0,1,14.0,13.0,1.0,100.0,3,2.8333333333333335,25.0,3.0,100.0,"1,2,21",13.6,12.0,24.0,100.0,1,3.0,0.0,25.6,16.7,36.0,1,2024,1,Wednesday,0,Winter,Ozone
2024-01-11,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",,,,,,17.0,16.0,1.0,100.0,3,5.4,33.0,2.0,100.0,"1,21",10.4,9.0,24.0,100.0,1,4.1,1.0,26.7,16.7,33.0,0,2024,1,Thursday,0,Winter,PM2.5
2024-01-12,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.037,34.0,16.0,94.0,1,15.0,14.0,1.0,100.0,3,4.85,30.0,2.0,100.0,"1,21",12.5,11.0,24.0,100.0,1,4.7,0.0,24.4,15.6,34.0,0,2024,1,Friday,0,Winter,Ozone
