Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2024,AQS,150030010,1,11.8,ppb,10,Kapolei,22,92,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/02/2024,AQS,150030010,1,16.1,ppb,15,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/03/2024,AQS,150030010,1,13,ppb,12,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/04/2024,AQS,150030010,1,17.4,ppb,16,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/05/2024,AQS,150030010,1,17.9,ppb,16,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/06/2024,AQS,150030010,1,8.3,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/07/2024,AQS,150030010,1,7.9,ppb,7,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/08/2024,AQS,150030010,1,10.4,ppb,9,Kapolei,22,92,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/09/2024,AQS,150030010,1,5.8,ppb,5,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/10/2024,AQS,150030010,1,13.6,ppb,12,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/11/2024,AQS,150030010,1,10.4,ppb,9,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/12/2024,AQS,150030010,1,12.5,ppb,11,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/13/2024,AQS,150030010,1,8.3,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/14/2024,AQS,150030010,1,15.5,ppb,14,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/15/2024,AQS,150030010,1,11.2,ppb,10,Kapolei,22,92,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/16/2024,AQS,150030010,1,4.8,ppb,4,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/17/2024,AQS,150030010,1,8.6,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/18/2024,AQS,150030010,1,22,ppb,21,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/19/2024,AQS,150030010,1,15.4,ppb,14,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/20/2024,AQS,150030010,1,9,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/21/2024,AQS,150030010,1,9.4,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/22/2024,AQS,150030010,1,5.6,ppb,5,Kapolei,22,92,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/23/2024,AQS,150030010,1,6.2,ppb,6,Kapolei,21,88,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/24/2024,AQS,150030010,1,9.1,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),212,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
