Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2024,AQS,150030010,1,5.8,ug/m3 LC,32,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/02/2024,AQS,150030010,1,5.4,ug/m3 LC,30,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/03/2024,AQS,150030010,1,6.6,ug/m3 LC,37,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/04/2024,AQS,150030010,1,6.7,ug/m3 LC,37,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/05/2024,AQS,150030010,1,7.6,ug/m3 LC,42,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/06/2024,AQS,150030010,1,5.6,ug/m3 LC,31,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/07/2024,AQS,150030010,1,5.6,ug/m3 LC,31,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/08/2024,AQS,150030010,1,7.7,ug/m3 LC,43,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/09/2024,AQS,150030010,1,5.7,ug/m3 LC,32,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/10/2024,AQS,150030010,1,4.5,ug/m3 LC,25,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/11/2024,AQS,150030010,1,5.9,ug/m3 LC,33,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/12/2024,AQS,150030010,1,5.4,ug/m3 LC,30,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/13/2024,AQS,150030010,1,7.9,ug/m3 LC,44,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/14/2024,AQS,150030010,1,6.9,ug/m3 LC,38,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/15/2024,AQS,150030010,1,4.7,ug/m3 LC,26,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/16/2024,AQS,150030010,1,6.5,ug/m3 LC,36,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/17/2024,AQS,150030010,1,11.5,ug/m3 LC,55,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/18/2024,AQS,150030010,1,8.1,ug/m3 LC,45,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/19/2024,AQS,150030010,1,3.8,ug/m3 LC,21,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/20/2024,AQS,150030010,1,4.6,ug/m3 LC,26,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/21/2024,AQS,150030010,1,5.5,ug/m3 LC,31,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/22/2024,AQS,150030010,1,6.8,ug/m3 LC,38,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/23/2024,AQS,150030010,1,5.8,ug/m3 LC,32,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/24/2024,AQS,150030010,1,6.3,ug/m3 LC,35,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/25/2024,AQS,150030010,1,6.8,ug/m3 LC,38,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/26/2024,AQS,150030010,1,5.2,ug/m3 LC,29,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/27/2024,AQS,150030010,1,4.6,ug/m3 LC,26,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/28/2024,AQS,150030010,1,7.2,ug/m3 LC,40,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/29/2024,AQS,150030010,1,8.9,ug/m3 LC,49,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/30/2024,AQS,150030010,1,6.3,ug/m3 LC,35,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
01/31/2024,AQS,150030010,1,5.8,ug/m3 LC,32,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
02/01/2024,AQS,150030010,1,4.5,ug/m3 LC,25,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
02/02/2024,AQS,150030010,1,5.2,ug/m3 LC,29,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
02/03/2024,AQS,150030010,1,6.1,ug/m3 LC,34,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
02/04/2024,AQS,150030010,1,5.8,ug/m3 LC,32,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
02/05/2024,AQS,150030010,1,7.4,ug/m3 LC,41,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
02/06/2024,AQS,150030010,1,7.1,ug/m3 LC,39,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
02/07/2024,AQS,150030010,1,6.2,ug/m3 LC,34,Kapolei,1,100,88101,PM2.5 - Local Conditions,238,Teledyne T640X at 16.67 LPM,46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
